iteration,TP,FP,TN,FN,Accuracy,Sensitivity,Specificity,AUC,Balanced Accuracy,best C,best l1_ratio
1,6,4,6,0,0.75,1.0,0.6,0.9166666666666666,0.8,10,0.1
2,4,6,4,2,0.5,0.6666666666666666,0.4,0.6333333333333333,0.5333333333333333,10,0.1
3,6,5,5,0,0.6875,1.0,0.5,1.0,0.75,10,0.1
4,5,6,4,1,0.5625,0.8333333333333334,0.4,0.85,0.6166666666666667,10,0.1
5,6,5,5,0,0.6875,1.0,0.5,1.0,0.75,10,0.1
6,6,8,2,0,0.5,1.0,0.2,0.75,0.6,10,0.1
7,5,6,4,1,0.5625,0.8333333333333334,0.4,0.75,0.6166666666666667,10,0.1
8,5,3,7,1,0.75,0.8333333333333334,0.7,0.7666666666666666,0.7666666666666666,10,0.1
9,6,6,4,0,0.625,1.0,0.4,0.7166666666666667,0.7,10,0.1
10,6,6,4,0,0.625,1.0,0.4,0.8333333333333334,0.7,10,0.1
11,5,6,4,1,0.5625,0.8333333333333334,0.4,0.55,0.6166666666666667,10,0.1
12,5,2,8,1,0.8125,0.8333333333333334,0.8,0.8833333333333333,0.8166666666666667,10,0.1
13,4,1,9,2,0.8125,0.6666666666666666,0.9,0.9166666666666667,0.7833333333333333,10,0.1
14,6,5,5,0,0.6875,1.0,0.5,0.8,0.75,10,0.1
15,5,5,5,1,0.625,0.8333333333333334,0.5,0.75,0.6666666666666667,10,0.1
16,4,2,8,2,0.75,0.6666666666666666,0.8,0.8166666666666667,0.7333333333333334,10,0.1
17,5,3,7,1,0.75,0.8333333333333334,0.7,0.85,0.7666666666666666,10,0.1
18,6,4,6,0,0.75,1.0,0.6,1.0,0.8,10,0.1
19,6,2,8,0,0.875,1.0,0.8,1.0,0.9,10,0.1
20,4,4,6,2,0.625,0.6666666666666666,0.6,0.6166666666666667,0.6333333333333333,10,0.1
21,3,5,5,3,0.5,0.5,0.5,0.5833333333333334,0.5,10,0.1
22,6,6,4,0,0.625,1.0,0.4,0.9333333333333333,0.7,10,0.1
23,6,5,5,0,0.6875,1.0,0.5,0.8333333333333333,0.75,10,0.1
24,4,4,6,2,0.625,0.6666666666666666,0.6,0.7166666666666666,0.6333333333333333,10,0.1
25,6,3,7,0,0.8125,1.0,0.7,0.9166666666666667,0.85,10,0.1
26,5,6,4,1,0.5625,0.8333333333333334,0.4,0.8166666666666667,0.6166666666666667,10,0.1
27,5,4,6,1,0.6875,0.8333333333333334,0.6,0.7666666666666666,0.7166666666666667,10,0.1
28,5,5,5,1,0.625,0.8333333333333334,0.5,0.7,0.6666666666666667,10,0.1
29,6,7,3,0,0.5625,1.0,0.3,0.6166666666666667,0.65,10,0.1
30,5,3,7,1,0.75,0.8333333333333334,0.7,0.8333333333333334,0.7666666666666666,10,0.1
31,6,5,5,0,0.6875,1.0,0.5,0.8666666666666667,0.75,10,0.1
32,5,6,4,1,0.5625,0.8333333333333334,0.4,0.7166666666666668,0.6166666666666667,10,0.1
33,6,4,6,0,0.75,1.0,0.6,0.9833333333333334,0.8,10,0.1
34,5,9,1,1,0.375,0.8333333333333334,0.1,0.7000000000000001,0.4666666666666667,10,0.1
35,4,5,5,2,0.5625,0.6666666666666666,0.5,0.6499999999999999,0.5833333333333333,10,0.1
36,6,3,7,0,0.8125,1.0,0.7,0.9500000000000001,0.85,10,0.1
37,6,7,3,0,0.5625,1.0,0.3,1.0,0.65,10,0.1
38,5,5,5,1,0.625,0.8333333333333334,0.5,0.7166666666666668,0.6666666666666667,10,0.1
39,5,4,6,1,0.6875,0.8333333333333334,0.6,0.8666666666666667,0.7166666666666667,10,0.1
40,5,6,4,1,0.5625,0.8333333333333334,0.4,0.7333333333333333,0.6166666666666667,10,0.1
41,5,3,7,1,0.75,0.8333333333333334,0.7,0.8500000000000001,0.7666666666666666,10,0.1
42,6,4,6,0,0.75,1.0,0.6,0.8666666666666667,0.8,10,0.1
43,3,4,6,3,0.5625,0.5,0.6,0.6666666666666666,0.55,10,0.1
44,6,4,6,0,0.75,1.0,0.6,0.9166666666666667,0.8,10,0.1
45,5,7,3,1,0.5,0.8333333333333334,0.3,0.7833333333333333,0.5666666666666667,10,0.1
46,4,6,4,2,0.5,0.6666666666666666,0.4,0.6666666666666666,0.5333333333333333,10,0.1
47,3,6,4,3,0.4375,0.5,0.4,0.6333333333333333,0.45,10,0.1
48,6,6,4,0,0.625,1.0,0.4,0.8666666666666667,0.7,10,0.1
49,6,2,8,0,0.875,1.0,0.8,0.9500000000000001,0.9,10,0.1
50,3,4,6,3,0.5625,0.5,0.6,0.7,0.55,10,0.1
