"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,demographic_info_toronto_only,,text,"Record ID",,,,,,,,,,,,,
ref_source,demographic_info_toronto_only,,radio,"Referral Source:","1, Physician Referral: I'm calling because at a recent appointment with Dr. _________, you agreed to be contacted about the OPTIMUM depression research study.|2, Self-Referral: I'm returning your call about the OPTIMUM depression research study.|3, Other: (Explain why we are calling them)",,,,,,,,LV,,,,
gender,demographic_info_toronto_only," ",radio,Gender,"1, Male|2, Female",,,,,,,,RH,,,,
dob,demographic_info_toronto_only," ",text,DOB:,,,date_mdy,,,y,,,RH,,,,
tor_age,demographic_info_toronto_only,,calc,Age,"datediff([baseline_arm_1][dob], [tracking_arm_1][date_of_consent],""d"",""mdy"",true) / 365.25",,,,,,,,,,,,
ethnicity,demographic_info_toronto_only," ",radio,"Ethnicity: Do you identify as...","1, Hispanic/Latino|2, Non-Hispanic",,,,,,,,RH,,,,
race,demographic_info_toronto_only," ",radio,"Race: What race do you identify as?","1, Black/African American|2, White|3, Hawaiian/Pacific Islander|4, Asian|5, American Indian/Alaska Native (includes First Nations)|6, Multi-race|7, Other",,,,,,,,,,,,
group_step1,demographic_info_toronto_only,,text,"group assignment for step 1",,,,,,,,,,,,," @HIDDEN-SURVEY @HIDDEN-PDF @HIDDEN-FORM"
group_step1_code,demographic_info_toronto_only,,radio,"group assignment code for step 1","1, Augmentation with Aripiprazole | 2, Augmentation with Bupropion | 3, Switch to Bupropion",,,,,,,,,,,," @HIDDEN-SURVEY @HIDDEN-PDF @HIDDEN-FORM"
mini_mdd_date,mini_mdd,,text,Date:,,,date_mdy,,,,,,,,,,
mini_1a,mini_mdd,"Module A: Major Depressive Disorder (MDD)",yesno,"1a. Were you <u>ever</u> depressed or down, or felt sad, empty or hopeless most of the day, nearly every day, for two weeks?",,,,,,,,,,,,,
mini_a1a_text,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Please code NO to A1b</font>",,,,,,,"[mini_1a] = '0'",,,,,,
mini_1b,mini_mdd,,yesno,"1b. <u>For the past two weeks,</u> were you depressed or down, or felt sad, empty or hopeless most of the day, nearly every day?",,,,,,,,,,,,,
mini_2a,mini_mdd,,yesno,"2a. Were you <u> ever</u> much less interested in most things or much less able to enjoy the things you used to enjoy most of the time, for two weeks?",,,,,,,,,,,,,
