threshold_arp,threshold_bup,n_g1,r_g1,n_g2,r_g2,n_g3,r_g3,n_g4,r_g4,,
0.12,0.18,178,0.365168539,29,0.344827586,140,0.264285714,40,0,,
0.12,0.19,173,0.36416185,28,0.357142857,145,0.268965517,41,0,,
0.12,0.17,183,0.360655738,36,0.277777778,135,0.266666667,33,0,,
0.11,0.19,175,0.36,26,0.384615385,148,0.263513514,38,0,,
0.1,0.19,178,0.359550562,23,0.391304348,150,0.26,36,0,,
0.11,0.18,181,0.359116022,26,0.384615385,142,0.26056338,38,0,,
0.1,0.18,184,0.358695652,23,0.391304348,144,0.256944444,36,0,,
0.11,0.17,186,0.35483871,33,0.303030303,137,0.262773723,31,0,,
0.1,0.17,189,0.354497354,30,0.3,139,0.258992806,29,0,,
0.12,0.15,200,0.35,40,0.25,118,0.271186441,29,0,,
0.12,0.16,193,0.347150259,40,0.25,125,0.28,29,0,,
0.12,0.14,206,0.344660194,41,0.243902439,112,0.276785714,28,0,,
0.11,0.15,204,0.343137255,36,0.277777778,119,0.268907563,28,0,,
0.1,0.15,207,0.342995169,33,0.272727273,121,0.26446281,26,0,,
0.11,0.16,197,0.340101523,36,0.277777778,126,0.277777778,28,0,,
0.1,0.16,200,0.34,33,0.272727273,128,0.2734375,26,0,,
0.12,0.13,212,0.339622642,48,0.208333333,106,0.283018868,21,0,,
0.11,0.14,210,0.338095238,37,0.27027027,113,0.274336283,27,0,,
0.1,0.14,213,0.338028169,34,0.264705882,115,0.269565217,25,0,,
0.12,0.12,219,0.337899543,49,0.204081633,99,0.282828283,20,0,,
0.1,0.13,219,0.333333333,41,0.219512195,109,0.275229358,18,0,,
0.11,0.13,216,0.333333333,44,0.227272727,107,0.280373832,20,0,,
0.12,0.11,228,0.333333333,53,0.188679245,90,0.288888889,16,0,,
0.12,0.1,229,0.331877729,55,0.181818182,89,0.292134831,14,0,,
0.1,0.12,226,0.331858407,42,0.214285714,102,0.274509804,17,0,,
