threshold_arp,threshold_bup,n_g1,r_g1,n_g2,r_g2,n_g3,r_g3,n_g4,r_g4
0.1,0.1,98,0.408163265,6,0.166666667,13,0.153846154,3,0
0.1,0.11,95,0.421052632,6,0.166666667,16,0.125,3,0
0.1,0.12,90,0.444444444,5,0.2,21,0.095238095,4,0
0.1,0.13,89,0.449438202,5,0.2,22,0.090909091,4,0
0.1,0.14,85,0.458823529,5,0.2,26,0.115384615,4,0
0.1,0.15,81,0.469135802,5,0.2,30,0.133333333,4,0
0.1,0.16,80,0.475,4,0.25,31,0.129032258,5,0
0.1,0.17,79,0.481012658,4,0.25,32,0.125,5,0
0.1,0.18,78,0.487179487,4,0.25,33,0.121212121,5,0
0.1,0.19,77,0.493506494,3,0.333333333,34,0.117647059,6,0
0.1,0.2,74,0.5,3,0.333333333,37,0.135135135,6,0
0.1,0.21,69,0.492753623,3,0.333333333,42,0.19047619,6,0
0.1,0.22,69,0.492753623,3,0.333333333,42,0.19047619,6,0
0.1,0.23,68,0.485294118,3,0.333333333,43,0.209302326,6,0
0.1,0.24,66,0.484848485,3,0.333333333,45,0.222222222,6,0
0.1,0.25,63,0.492063492,2,0.5,48,0.229166667,7,0
0.1,0.26,63,0.492063492,2,0.5,48,0.229166667,7,0
0.1,0.27,62,0.483870968,2,0.5,49,0.244897959,7,0
0.1,0.28,58,0.482758621,2,0.5,53,0.264150943,7,0
0.1,0.29,55,0.490909091,2,0.5,56,0.267857143,7,0
0.1,0.3,53,0.509433962,2,0.5,58,0.25862069,7,0
0.1,0.31,53,0.509433962,2,0.5,58,0.25862069,7,0
0.1,0.32,50,0.52,2,0.5,61,0.262295082,7,0
0.1,0.33,48,0.541666667,2,0.5,63,0.253968254,7,0
0.1,0.34,47,0.553191489,2,0.5,64,0.25,7,0
0.1,0.35,46,0.543478261,2,0.5,65,0.261538462,7,0
0.1,0.36,44,0.545454545,2,0.5,67,0.268656716,7,0
0.1,0.37,42,0.571428571,2,0.5,69,0.260869565,7,0
0.1,0.38,40,0.575,2,0.5,71,0.267605634,7,0
0.1,0.39,36,0.583333333,2,0.5,75,0.28,7,0
0.1,0.4,29,0.689655172,1,1,82,0.268292683,8,0
0.1,0.41,26,0.692307692,1,1,85,0.282352941,8,0
0.1,0.42,25,0.68,1,1,86,0.290697674,8,0
0.1,0.43,22,0.681818182,0,,89,0.303370787,9,0.111111111
0.1,0.44,21,0.666666667,0,,90,0.311111111,9,0.111111111
0.1,0.45,20,0.65,0,,91,0.318681319,9,0.111111111
0.1,0.46,17,0.705882353,0,,94,0.319148936,9,0.111111111
0.1,0.47,17,0.705882353,0,,94,0.319148936,9,0.111111111
0.1,0.48,15,0.733333333,0,,96,0.322916667,9,0.111111111
0.1,0.49,14,0.714285714,0,,97,0.329896907,9,0.111111111
0.1,0.5,12,0.833333333,0,,99,0.323232323,9,0.111111111
0.1,0.51,11,0.909090909,0,,100,0.32,9,0.111111111
0.1,0.52,10,0.9,0,,101,0.326732673,9,0.111111111
0.1,0.53,8,0.875,0,,103,0.339805825,9,0.111111111
0.1,0.54,8,0.875,0,,103,0.339805825,9,0.111111111
0.1,0.55,7,1,0,,104,0.336538462,9,0.111111111
0.1,0.56,7,1,0,,104,0.336538462,9,0.111111111
0.1,0.57,7,1,0,,104,0.336538462,9,0.111111111
0.1,0.58,6,1,0,,105,0.342857143,9,0.111111111
0.1,0.59,5,1,0,,106,0.349056604,9,0.111111111
0.1,0.6,5,1,0,,106,0.349056604,9,0.111111111
0.1,0.61,5,1,0,,106,0.349056604,9,0.111111111
0.1,0.62,5,1,0,,106,0.349056604,9,0.111111111
0.1,0.63,5,1,0,,106,0.349056604,9,0.111111111
0.1,0.64,4,1,0,,107,0.355140187,9,0.111111111
0.1,0.65,3,1,0,,108,0.361111111,9,0.111111111
0.1,0.66,3,1,0,,108,0.361111111,9,0.111111111
0.1,0.67,3,1,0,,108,0.361111111,9,0.111111111
0.1,0.68,3,1,0,,108,0.361111111,9,0.111111111
0.1,0.69,2,1,0,,109,0.366972477,9,0.111111111
0.1,0.7,2,1,0,,109,0.366972477,9,0.111111111
0.1,0.71,2,1,0,,109,0.366972477,9,0.111111111
0.1,0.72,2,1,0,,109,0.366972477,9,0.111111111
0.1,0.73,2,1,0,,109,0.366972477,9,0.111111111
0.1,0.74,2,1,0,,109,0.366972477,9,0.111111111
0.1,0.75,2,1,0,,109,0.366972477,9,0.111111111
0.1,0.76,2,1,0,,109,0.366972477,9,0.111111111
0.1,0.77,2,1,0,,109,0.366972477,9,0.111111111
0.1,0.78,1,1,0,,110,0.372727273,9,0.111111111
0.1,0.79,0,,0,,111,0.378378378,9,0.111111111
0.1,0.8,0,,0,,111,0.378378378,9,0.111111111
0.1,0.81,0,,0,,111,0.378378378,9,0.111111111
0.1,0.82,0,,0,,111,0.378378378,9,0.111111111
0.1,0.83,0,,0,,111,0.378378378,9,0.111111111
0.1,0.84,0,,0,,111,0.378378378,9,0.111111111
0.1,0.85,0,,0,,111,0.378378378,9,0.111111111
0.1,0.86,0,,0,,111,0.378378378,9,0.111111111
0.1,0.87,0,,0,,111,0.378378378,9,0.111111111
0.1,0.88,0,,0,,111,0.378378378,9,0.111111111
0.1,0.89,0,,0,,111,0.378378378,9,0.111111111
0.1,0.9,0,,0,,111,0.378378378,9,0.111111111
0.1,0.91,0,,0,,111,0.378378378,9,0.111111111
0.1,0.92,0,,0,,111,0.378378378,9,0.111111111
0.1,0.93,0,,0,,111,0.378378378,9,0.111111111
0.1,0.94,0,,0,,111,0.378378378,9,0.111111111
0.1,0.95,0,,0,,111,0.378378378,9,0.111111111
0.1,0.96,0,,0,,111,0.378378378,9,0.111111111
0.1,0.97,0,,0,,111,0.378378378,9,0.111111111
0.1,0.98,0,,0,,111,0.378378378,9,0.111111111
0.1,0.99,0,,0,,111,0.378378378,9,0.111111111
0.11,0.1,97,0.412371134,7,0.142857143,13,0.153846154,3,0
0.11,0.11,94,0.425531915,7,0.142857143,16,0.125,3,0
0.11,0.12,89,0.449438202,6,0.166666667,21,0.095238095,4,0
0.11,0.13,88,0.454545455,6,0.166666667,22,0.090909091,4,0
0.11,0.14,84,0.464285714,6,0.166666667,26,0.115384615,4,0
0.11,0.15,80,0.475,6,0.166666667,30,0.133333333,4,0
0.11,0.16,79,0.481012658,5,0.2,31,0.129032258,5,0
0.11,0.17,78,0.487179487,5,0.2,32,0.125,5,0
0.11,0.18,77,0.493506494,5,0.2,33,0.121212121,5,0
0.11,0.19,76,0.5,4,0.25,34,0.117647059,6,0
0.11,0.2,73,0.506849315,4,0.25,37,0.135135135,6,0
0.11,0.21,68,0.5,4,0.25,42,0.19047619,6,0
0.11,0.22,68,0.5,4,0.25,42,0.19047619,6,0
0.11,0.23,67,0.492537313,4,0.25,43,0.209302326,6,0
0.11,0.24,65,0.492307692,4,0.25,45,0.222222222,6,0
0.11,0.25,62,0.5,3,0.333333333,48,0.229166667,7,0
0.11,0.26,62,0.5,3,0.333333333,48,0.229166667,7,0
0.11,0.27,61,0.491803279,3,0.333333333,49,0.244897959,7,0
0.11,0.28,58,0.482758621,2,0.5,52,0.269230769,8,0
0.11,0.29,55,0.490909091,2,0.5,55,0.272727273,8,0
0.11,0.3,53,0.509433962,2,0.5,57,0.263157895,8,0
0.11,0.31,53,0.509433962,2,0.5,57,0.263157895,8,0
0.11,0.32,50,0.52,2,0.5,60,0.266666667,8,0
0.11,0.33,48,0.541666667,2,0.5,62,0.258064516,8,0
0.11,0.34,47,0.553191489,2,0.5,63,0.253968254,8,0
0.11,0.35,46,0.543478261,2,0.5,64,0.265625,8,0
0.11,0.36,44,0.545454545,2,0.5,66,0.272727273,8,0
0.11,0.37,42,0.571428571,2,0.5,68,0.264705882,8,0
0.11,0.38,40,0.575,2,0.5,70,0.271428571,8,0
0.11,0.39,36,0.583333333,2,0.5,74,0.283783784,8,0
0.11,0.4,29,0.689655172,1,1,81,0.271604938,9,0
0.11,0.41,26,0.692307692,1,1,84,0.285714286,9,0
0.11,0.42,25,0.68,1,1,85,0.294117647,9,0
0.11,0.43,22,0.681818182,0,,88,0.306818182,10,0.1
