model,threshold,tp,fp,tn,fn,accuracy,sensitivity,specificity,precision,balanced_accuracy
ARP_model,0.91,1,0,83,43,0.661417323,0.022727273,1,1,0.511363636
ARP_model,0.92,0,0,83,44,0.653543307,0,1,,0.5
ARP_model,0.93,0,0,83,44,0.653543307,0,1,,0.5
ARP_model,0.94,0,0,83,44,0.653543307,0,1,,0.5
ARP_model,0.95,0,0,83,44,0.653543307,0,1,,0.5
ARP_model,0.96,0,0,83,44,0.653543307,0,1,,0.5
ARP_model,0.97,0,0,83,44,0.653543307,0,1,,0.5
ARP_model,0.98,0,0,83,44,0.653543307,0,1,,0.5
ARP_model,0.99,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.75,2,0,83,42,0.669291339,0.045454545,1,1,0.522727273
BUP_model,0.76,2,0,83,42,0.669291339,0.045454545,1,1,0.522727273
BUP_model,0.77,2,0,83,42,0.669291339,0.045454545,1,1,0.522727273
BUP_model,0.78,1,0,83,43,0.661417323,0.022727273,1,1,0.511363636
BUP_model,0.79,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.8,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.81,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.82,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.83,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.84,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.85,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.86,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.87,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.88,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.89,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.9,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.91,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.92,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.93,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.94,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.95,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.96,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.97,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.98,0,0,83,44,0.653543307,0,1,,0.5
BUP_model,0.99,0,0,83,44,0.653543307,0,1,,0.5
ARP_model,0.79,6,1,82,38,0.692913386,0.136363636,0.987951807,0.857142857,0.562157722
ARP_model,0.8,6,1,82,38,0.692913386,0.136363636,0.987951807,0.857142857,0.562157722
ARP_model,0.81,6,1,82,38,0.692913386,0.136363636,0.987951807,0.857142857,0.562157722
ARP_model,0.82,6,1,82,38,0.692913386,0.136363636,0.987951807,0.857142857,0.562157722
ARP_model,0.83,5,1,82,39,0.68503937,0.113636364,0.987951807,0.833333333,0.550794085
ARP_model,0.84,4,1,82,40,0.677165354,0.090909091,0.987951807,0.8,0.539430449
ARP_model,0.85,4,1,82,40,0.677165354,0.090909091,0.987951807,0.8,0.539430449
ARP_model,0.86,3,1,82,41,0.669291339,0.068181818,0.987951807,0.75,0.528066813
ARP_model,0.87,2,1,82,42,0.661417323,0.045454545,0.987951807,0.666666667,0.516703176
ARP_model,0.88,2,1,82,42,0.661417323,0.045454545,0.987951807,0.666666667,0.516703176
ARP_model,0.89,1,1,82,43,0.653543307,0.022727273,0.987951807,0.5,0.50533954
