iteration,TP,FP,TN,FN,Accuracy,Sensitivity,Specificity,AUC,Balanced Accuracy
1,14,13,33,3,0.746031746031746,0.8235294117647058,0.717391304347826,0.8337595907928389,0.7704603580562659
2,10,14,32,7,0.6666666666666666,0.5882352941176471,0.6956521739130435,0.727621483375959,0.6419437340153453
3,11,18,28,6,0.6190476190476191,0.6470588235294118,0.6086956521739131,0.7109974424552429,0.6278772378516624
4,10,17,29,7,0.6190476190476191,0.5882352941176471,0.6304347826086957,0.6342710997442456,0.6093350383631714
5,10,19,27,7,0.5873015873015873,0.5882352941176471,0.5869565217391305,0.6662404092071611,0.5875959079283888
6,13,16,30,4,0.6825396825396826,0.7647058823529411,0.6521739130434783,0.7212276214833759,0.7084398976982097
7,11,9,37,6,0.7619047619047619,0.6470588235294118,0.8043478260869565,0.7583120204603581,0.7257033248081841
8,13,15,31,4,0.6984126984126984,0.7647058823529411,0.6739130434782609,0.7672634271099744,0.7193094629156009
9,13,18,28,4,0.6507936507936508,0.7647058823529411,0.6086956521739131,0.7928388746803069,0.6867007672634271
10,14,16,30,3,0.6984126984126984,0.8235294117647058,0.6521739130434783,0.8759590792838875,0.7378516624040921
11,9,9,37,8,0.7301587301587301,0.5294117647058824,0.8043478260869565,0.7442455242966751,0.6668797953964194
12,12,14,32,5,0.6984126984126984,0.7058823529411765,0.6956521739130435,0.7173913043478262,0.70076726342711
13,15,20,26,2,0.6507936507936508,0.8823529411764706,0.5652173913043478,0.8209718670076726,0.7237851662404091
14,15,20,26,2,0.6507936507936508,0.8823529411764706,0.5652173913043478,0.8363171355498721,0.7237851662404091
15,13,13,33,4,0.7301587301587301,0.7647058823529411,0.717391304347826,0.6982097186700768,0.7410485933503836
16,13,13,33,4,0.7301587301587301,0.7647058823529411,0.717391304347826,0.7966751918158568,0.7410485933503836
17,12,14,32,5,0.6984126984126984,0.7058823529411765,0.6956521739130435,0.7659846547314578,0.70076726342711
18,13,17,29,4,0.6666666666666666,0.7647058823529411,0.6304347826086957,0.7723785166240409,0.6975703324808185
19,5,10,36,12,0.6507936507936508,0.29411764705882354,0.782608695652174,0.6803069053708439,0.5383631713554987
20,8,8,38,9,0.7301587301587301,0.47058823529411764,0.8260869565217391,0.7301790281329923,0.6483375959079284
21,9,19,27,8,0.5714285714285714,0.5294117647058824,0.5869565217391305,0.670076726342711,0.5581841432225064
22,11,16,30,6,0.6507936507936508,0.6470588235294118,0.6521739130434783,0.7838874680306905,0.6496163682864451
23,14,16,30,3,0.6984126984126984,0.8235294117647058,0.6521739130434783,0.8567774936061381,0.7378516624040921
24,11,10,36,6,0.746031746031746,0.6470588235294118,0.782608695652174,0.8081841432225064,0.7148337595907929
25,12,20,26,5,0.6031746031746031,0.7058823529411765,0.5652173913043478,0.6317135549872123,0.6355498721227621
26,16,15,31,1,0.746031746031746,0.9411764705882353,0.6739130434782609,0.9117647058823529,0.8075447570332481
27,14,18,28,3,0.6666666666666666,0.8235294117647058,0.6086956521739131,0.7877237851662404,0.7161125319693095
28,14,14,32,3,0.7301587301587301,0.8235294117647058,0.6956521739130435,0.778772378516624,0.7595907928388747
29,15,16,30,2,0.7142857142857143,0.8823529411764706,0.6521739130434783,0.829923273657289,0.7672634271099744
30,9,18,28,8,0.5873015873015873,0.5294117647058824,0.6086956521739131,0.6713554987212277,0.5690537084398977
31,6,13,33,11,0.6190476190476191,0.35294117647058826,0.717391304347826,0.581841432225064,0.5351662404092071
32,8,14,32,9,0.6349206349206349,0.47058823529411764,0.6956521739130435,0.6419437340153453,0.5831202046035806
33,9,12,34,8,0.6825396825396826,0.5294117647058824,0.7391304347826086,0.6457800511508952,0.6342710997442456
34,12,14,32,5,0.6984126984126984,0.7058823529411765,0.6956521739130435,0.7531969309462916,0.70076726342711
35,12,12,34,5,0.7301587301587301,0.7058823529411765,0.7391304347826086,0.8171355498721228,0.7225063938618925
36,13,18,28,4,0.6507936507936508,0.7647058823529411,0.6086956521739131,0.7659846547314578,0.6867007672634271
37,14,12,34,3,0.7619047619047619,0.8235294117647058,0.7391304347826086,0.8248081841432225,0.7813299232736572
38,14,18,28,3,0.6666666666666666,0.8235294117647058,0.6086956521739131,0.7595907928388748,0.7161125319693095
39,13,20,26,4,0.6190476190476191,0.7647058823529411,0.5652173913043478,0.6828644501278772,0.6649616368286444
40,14,16,30,3,0.6984126984126984,0.8235294117647058,0.6521739130434783,0.7621483375959079,0.7378516624040921
41,11,15,31,6,0.6666666666666666,0.6470588235294118,0.6739130434782609,0.7634271099744245,0.6604859335038363
42,13,19,27,4,0.6349206349206349,0.7647058823529411,0.5869565217391305,0.7442455242966751,0.6758312020460358
43,12,17,29,5,0.6507936507936508,0.7058823529411765,0.6304347826086957,0.7352941176470589,0.6681585677749361
44,10,20,26,7,0.5714285714285714,0.5882352941176471,0.5652173913043478,0.6381074168797953,0.5767263427109974
45,12,18,28,5,0.6349206349206349,0.7058823529411765,0.6086956521739131,0.7046035805626598,0.6572890025575449
46,11,16,30,6,0.6507936507936508,0.6470588235294118,0.6521739130434783,0.6982097186700768,0.6496163682864451
47,13,20,26,4,0.6190476190476191,0.7647058823529411,0.5652173913043478,0.7506393861892583,0.6649616368286444
48,12,17,29,5,0.6507936507936508,0.7058823529411765,0.6304347826086957,0.7621483375959079,0.6681585677749361
49,8,9,37,9,0.7142857142857143,0.47058823529411764,0.8043478260869565,0.7813299232736572,0.6374680306905371
50,8,18,28,9,0.5714285714285714,0.47058823529411764,0.6086956521739131,0.5856777493606138,0.5396419437340154
