,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_parsopercularis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_superiorparietal_thickness,lh_supramarginal_thickness,lh_frontalpole_thickness,lh_temporalpole_thickness,lh_insula_thickness,rh_bankssts_thickness,rh_caudalmiddlefrontal_thickness,rh_fusiform_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_parsopercularis_thickness,rh_parstriangularis_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_rostralanteriorcingulate_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_supramarginal_thickness,rh_frontalpole_thickness,rh_temporalpole_thickness,rh_transversetemporal_thickness
lh_caudalanteriorcingulate_thickness,1.0,0.9199547705199631,0.942021232923661,0.8930913537563543,0.9536240807149154,0.9063804644505399,0.9155452872741148,0.9077144820841361,0.8676517688717871,0.9402959408951748,0.8715129124877435,0.9072311996463447,0.8214759358612297,0.9194619835464878,0.9570534331915619,0.9013177339660549,0.9796134053390725,0.9180781431936762,0.9199311512814503,0.9751475483461232,0.9521291159267201,0.907581157423534,0.8819135226386022,0.924471273172836,0.9139496202369125,0.9713928750820868,0.8794213650250312,0.935875143912287,0.8389237176424456,0.9302039134201922,0.961019298544189,0.8986644576261322,0.9159934316233952,0.9276580913186193,0.9179740110748759,0.9194551956916178,0.9864595963582394,0.9441074400218958,0.9419244532927452
lh_caudalmiddlefrontal_thickness,0.9199547705199631,1.0,0.9979690771167607,0.9802392575185241,0.9864217513111373,0.996712894587564,0.9830462373620422,0.9617545551512353,0.9904775534377795,0.9913918689282817,0.9926188680028121,0.9993400284690347,0.9607608453576915,0.999045714002782,0.9917235326313368,0.9961351176280943,0.9278091448073892,0.9977365867044428,0.9998348335061866,0.9826384670059511,0.9942268007997421,0.9846727872503681,0.993100122528104,0.9997680039207372,0.9957358764476157,0.9644985134568023,0.9835256307808145,0.9348707883536354,0.9808003645683138,0.999025531000531,0.991637554247113,0.9984466245856974,0.8605519611014503,0.9995353494161004,0.9989509222386396,0.9997644939946286,0.9707074081176609,0.9970593213693333,0.9950849402050416
lh_inferiorparietal_thickness,0.942021232923661,0.9979690771167607,1.0,0.9775518870072828,0.9908754341884035,0.9939113366882395,0.9835020996121627,0.9639701237604174,0.9819687181080129,0.9937230739934805,0.984141812706029,0.995439953981355,0.950733811028474,0.9969573459598045,0.9967495856339015,0.9922035708014977,0.9454182231604102,0.9967308422313782,0.9978790022329491,0.9912406964244982,0.9981498491170253,0.9829788139990285,0.9861613873159035,0.998605676591911,0.9937723758047095,0.9760769093125133,0.9786065695123978,0.9458427025241631,0.9693357255935562,0.9988235404573352,0.9971482226293841,0.9930813749838353,0.8796487879587429,0.9985576597404051,0.9975577085601067,0.9978045707979939,0.9830551215735334,0.9992146757689598,0.9970147194064031
lh_inferiortemporal_thickness,0.8930913537563543,0.9802392575185241,0.9775518870072828,1.0,0.9429519778519697,0.990343555265504,0.9984336655633445,0.9932498193013759,0.9893229636385209,0.9491721785850399,0.9865853448008978,0.9833940247638838,0.9879499940485963,0.973069808068607,0.9802447889585454,0.9924605143186169,0.9374773486539232,0.987523286942632,0.9769795619016608,0.962742582452251,0.9799368097653028,0.9980466405491886,0.9917027852339483,0.9831515825465175,0.9942583675186372,0.9701962843522303,0.9977643616677334,0.9699910410739596,0.9861665565368077,0.9847271009068141,0.9738711582411779,0.9762949954049762,0.9124873747520695,0.982345771754373,0.9831544177865119,0.976486579254106,0.9453101523669838,0.9800474935412007,0.9871801165442265
lh_isthmuscingulate_thickness,0.9536240807149154,0.9864217513111373,0.9908754341884035,0.9429519778519697,1.0,0.9726336755810169,0.9529756904881834,0.9261180273709337,0.9552171056797122,0.9972835480079235,0.9607064879420137,0.9806423542148541,0.9053598693750736,0.9898265851998109,0.9865359182491759,0.9698578666081087,0.9334353842269596,0.9781802161818653,0.9880784358559996,0.989048111903346,0.9870825204551884,0.9539607626472975,0.961363966119135,0.985669625444729,0.9715397575451048,0.9594917118699694,0.9449636049285665,0.9118419814457848,0.93688322167268,0.9857423990145389,0.9911525520651021,0.9813807137500422,0.8419846028502815,0.9869032696391059,0.9822583886859845,0.9880635392433558,0.9855921589454983,0.9886462425020592,0.9830134892347818
lh_lateraloccipital_thickness,0.9063804644505399,0.996712894587564,0.9939113366882395,0.990343555265504,0.9726336755810169,1.0,0.9906597542538582,0.972746783084314,0.9955123353900205,0.9796635278430545,0.9955461966389391,0.9978517818481848,0.9780822968078418,0.9941898291424396,0.9888961752883608,0.9994169413189008,0.925355109426122,0.9993055553082509,0.9958471497540369,0.9745435492780594,0.9904924176366229,0.9905873776815322,0.9968966558346897,0.997446047606866,0.9987421799889823,0.9645594734768714,0.9939738665216721,0.9450405816526459,0.9889118175866299,0.9969938389547368,0.9865549089421946,0.9951571745647724,0.8728843452115992,0.9960571506091385,0.9985546462936483,0.9957818098639833,0.9599285175541522,0.9928907076166837,0.9936689514778623
lh_lateralorbitofrontal_thickness,0.9155452872741148,0.9830462373620422,0.9835020996121627,0.9984336655633445,0.9529756904881834,0.9906597542538582,1.0,0.9952030535311333,0.9851464915147642,0.957632519498452,0.9830362516955387,0.9843590514258447,0.9791434784050943,0.9759665187653892,0.9877255344281403,0.9919857678591764,0.9539552282699147,0.9898100885098929,0.9800015869111265,0.974245449649189,0.9872064992611561,0.9986073510691557,0.9889364466245318,0.9862982139275849,0.995293494059284,0.9818366063976673,0.9944626837326651,0.978351059361375,0.9790562640738737,0.9884393421564905,0.9822652134152396,0.9766100590537746,0.9263023284756369,0.9859412407218628,0.9857083507142266,0.9795281196730318,0.9604820173758949,0.986182913512823,0.9920667376892743
lh_medialorbitofrontal_thickness,0.9077144820841361,0.9617545551512353,0.9639701237604174,0.9932498193013759,0.9261180273709337,0.972746783084314,0.9952030535311333,1.0,0.967377412539719,0.9298313180661666,0.9636180828465198,0.9633776786499206,0.9699338400511539,0.9512631732424232,0.974145854598263,0.9754598331806301,0.9608552390974038,0.9714826357589778,0.9570867543215075,0.9611566804802565,0.972851899772615,0.992800940521182,0.9726103652229315,0.96669913845905,0.981457465391406,0.9812750193137219,0.9838704506035638,0.9897909637002944,0.9621257011199793,0.9703863160457614,0.966365541003369,0.9522606109414993,0.9517916698261792,0.96700678171707,0.9649757607852246,0.9563131826601139,0.9476085853193199,0.9695531212665769,0.9786849802619105
lh_middletemporal_thickness,0.8676517688717871,0.9904775534377795,0.9819687181080129,0.9893229636385209,0.9552171056797122,0.9955123353900205,0.9851464915147642,0.967377412539719,1.0,0.9652160490073118,0.9996379150836202,0.9945960046316515,0.9871595952409234,0.986915308357773,0.9741095129752111,0.9972512325324874,0.8976754883234561,0.9921651935343125,0.9890283034758672,0.9544844812704065,0.9770821406627241,0.9884863850824079,0.999410741284257,0.9903192478066999,0.9943154833462463,0.9435931008396028,0.9948171038620888,0.9283445287665013,0.9982397295779751,0.9889322380804771,0.9703636379789485,0.993123503618103,0.8484850169319256,0.9889469079879692,0.9913894847442221,0.9889002000194203,0.9345004730933536,0.9815679204921078,0.9836284575790931
lh_parahippocampal_thickness,0.9402959408951748,0.9913918689282817,0.9937230739934805,0.9491721785850399,0.9972835480079235,0.9796635278430545,0.957632519498452,0.9298313180661666,0.9652160490073118,1.0,0.9700985807735631,0.9866809376680131,0.9181294170986788,0.9934844000110435,0.9852184889474466,0.9765166803855561,0.9237519325697101,0.9847203987614535,0.992935405795739,0.98497030574525,0.9888900850030748,0.9582187431192836,0.9695035422032479,0.9902344990761612,0.9769956759989566,0.9560103611169752,0.952885123625599,0.9098534066457287,0.9491151564619504,0.9890157586306655,0.989092489064522,0.9878090319048914,0.8358677736140023,0.9905884341468205,0.9886564559974512,0.9930928146919092,0.980229872753796,0.9914241549031106,0.9836150164142833
