,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_parsopercularis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_superiorparietal_thickness,lh_supramarginal_thickness,lh_frontalpole_thickness,lh_temporalpole_thickness,lh_insula_thickness,rh_bankssts_thickness,rh_caudalmiddlefrontal_thickness,rh_fusiform_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_parsopercularis_thickness,rh_parstriangularis_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_rostralanteriorcingulate_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_supramarginal_thickness,rh_frontalpole_thickness,rh_temporalpole_thickness,rh_transversetemporal_thickness
lh_caudalanteriorcingulate_thickness,1.0,0.4068930926354684,0.3859648157960159,0.3985449693651666,0.3914986440802895,0.2911639825733443,0.4090527761643063,0.43949194196525676,0.3819048021206148,0.23977226764111637,0.30886185326485077,0.2718187862207554,0.3679220305364318,0.388696715736312,0.5093218331276997,0.43717257514849933,0.512416582214172,0.34777648946312184,0.380965600557377,0.35736549060048095,0.3043827062569422,0.23772152622573833,0.28253837524159614,0.40858946870233503,0.37317215649910324,0.4259666447296945,0.3064112208045319,0.23050153015302863,0.4326284878921348,0.3720273742589692,0.2523757838653419,0.3965429362766957,0.2386464813476445,0.4000932992817594,0.343443831273856,0.36585798132862557,0.4054762323773332,0.2663261553335488,0.17971382115094806
lh_caudalmiddlefrontal_thickness,0.4068930926354684,1.0,0.6740907744233285,0.5604534529984188,0.3839524199140963,0.482667376655932,0.5075982219491963,0.5492417929558123,0.650000309840801,0.3257083084358806,0.728498459633794,0.6253781172641746,0.3860296070830541,0.6417794365613999,0.5463182931155612,0.7115432785962367,0.5393479366943783,0.6411826332318517,0.6783865372385904,0.4761372224167454,0.3223466697388503,0.38383305002068285,0.4708934362463339,0.7203069647540863,0.4733952406681217,0.4846058975264845,0.3988173080932163,0.25906606793118797,0.6287096888390594,0.6184242871371564,0.32366904737782914,0.6560418760169815,0.19034039846391948,0.6988393946760858,0.5604305397214585,0.5762362452658146,0.36466651058069194,0.28370573930861526,0.38880414084935494
lh_inferiorparietal_thickness,0.3859648157960159,0.6740907744233285,1.0,0.7058944031630315,0.4733903372494927,0.7729734031256754,0.5640201888933465,0.5836590146073509,0.7699449598134496,0.3462324927765668,0.6129862807199725,0.5664512892192564,0.5979174046748333,0.7244280240509873,0.5767743891356101,0.8213425000841013,0.5480479834755908,0.8404948597816718,0.856317071612904,0.48960765311419974,0.4026609676807854,0.3997211316395396,0.6479725095779458,0.6777531368699018,0.634801650717426,0.6074064123389814,0.600006273110278,0.39798871254444085,0.5851135074590719,0.5836035629779668,0.49321202946351783,0.7076452055696126,0.27616024858589405,0.6777572441839099,0.7558490050687988,0.7486021443513138,0.47983432114418045,0.3688470628029126,0.36861973626210703
lh_inferiortemporal_thickness,0.3985449693651666,0.5604534529984188,0.7058944031630315,1.0,0.39669327851180763,0.6742824323278729,0.6752808446442363,0.6521141427569271,0.8295981938644704,0.4155143644525739,0.5623053009209277,0.5171485912915172,0.5166675167601502,0.5372046948013868,0.462124171806149,0.6347048882511157,0.571243931495523,0.5628058597004576,0.6712025684328398,0.5255003427240504,0.5819959849161075,0.4364319280491589,0.5007131760336822,0.5609246237609832,0.6776728719021557,0.6600855867032327,0.5025128270673943,0.44810675434601477,0.5328673566140849,0.5721458386523155,0.3926113247042799,0.5597960563710244,0.2607768559775292,0.5711771308527973,0.5105510694789738,0.5794392761105523,0.4964758663437817,0.5103543919778524,0.3091562011362059
lh_isthmuscingulate_thickness,0.3914986440802895,0.3839524199140963,0.4733903372494927,0.39669327851180763,1.0,0.2861924666496174,0.493176987837089,0.4508590074017126,0.491715348330882,0.2729201874379594,0.4239692445451727,0.4330501350723521,0.23004529430654191,0.4013243843985704,0.5298941956218249,0.509688537492266,0.49389171183422564,0.3830316905528593,0.4860751086922365,0.4379629953016279,0.32139052659989004,0.2706816722749794,0.38328164731717934,0.4261140642287684,0.41705616150576263,0.44311952606906546,0.3788745970180838,0.22240078355132972,0.4594702994252148,0.4488283741286889,0.3662583015654262,0.4193420677084288,0.24432060825298488,0.40772398828455575,0.42364296978459853,0.4559047324245594,0.3491590933274638,0.22098520243786526,0.3384599173885219
lh_lateraloccipital_thickness,0.2911639825733443,0.482667376655932,0.7729734031256754,0.6742824323278729,0.2861924666496174,1.0,0.538572156413822,0.5274376243517034,0.6590957019131928,0.2763805799057938,0.4453905658143946,0.44501755563328316,0.5737711303497244,0.570306731605863,0.4481872536976625,0.6557002031165409,0.41762275183668696,0.7052358196412923,0.6565774376813472,0.3795568287670186,0.40347864575636766,0.3685116451996372,0.477817379387722,0.4593898186039765,0.5652119910614164,0.5307924145450217,0.5784986453978277,0.36986568226624117,0.45446591969099925,0.47009285670994966,0.3580131155408818,0.5248899311665456,0.17574666253638288,0.5037367710741222,0.613392250269438,0.5712160537986085,0.39560414790045006,0.33061467033763936,0.2962803757108986
lh_lateralorbitofrontal_thickness,0.4090527761643063,0.5075982219491963,0.5640201888933465,0.6752808446442363,0.493176987837089,0.538572156413822,1.0,0.7154440923695716,0.6749234107377388,0.4242363527009744,0.6099879565894162,0.6148376127468371,0.40568039257796057,0.5242927727534338,0.38316492288886966,0.5054660841252714,0.6109448113086585,0.4136344773076271,0.6243242110119832,0.6048366991406818,0.529315592324878,0.5293157496995654,0.4454118234573091,0.45619645254439123,0.54931595377301,0.7243106905008195,0.43247147602199576,0.5002597157575354,0.5848319827307192,0.6059648728725188,0.35645373078573506,0.4675477673551756,0.3408716214444816,0.5226477655822956,0.36766264558523176,0.5236271723559252,0.5459466826774525,0.42807227555418426,0.3424455899235431
lh_medialorbitofrontal_thickness,0.43949194196525676,0.5492417929558123,0.5836590146073509,0.6521141427569271,0.4508590074017126,0.5274376243517034,0.7154440923695716,1.0,0.6572908479535924,0.3804550580563734,0.5721713755475327,0.4690507037636853,0.4273242979214328,0.5085729203246235,0.5516205435681806,0.595023630606501,0.7013290103278113,0.4256868817784835,0.5845318797951715,0.5966925593258933,0.5092934897598776,0.40493454616065955,0.442162303796707,0.5800660705633637,0.5953029020728854,0.7548876769436853,0.4482488566533897,0.5471259533449397,0.611003017158929,0.6514863142303129,0.39908337902587515,0.5827022310666408,0.36163572046519304,0.624710246444696,0.48538355911158243,0.5814484468178792,0.5636090225834236,0.39258869927565104,0.29132793164443516
lh_middletemporal_thickness,0.3819048021206148,0.650000309840801,0.7699449598134496,0.8295981938644704,0.491715348330882,0.6590957019131928,0.6749234107377388,0.6572908479535924,1.0,0.4086687866415364,0.6602590697847898,0.6530127849063273,0.45456772426741604,0.6230104504152565,0.5157960090890501,0.6789805924098001,0.5751494778471702,0.6160107509248947,0.7647687058409266,0.5493167740583058,0.5551985236415796,0.4717401705080672,0.5350241088273527,0.5953677540257452,0.6404694799129627,0.6413025080158289,0.48964453604983593,0.39231548960543766,0.5636896331366313,0.6209019982040554,0.4550786195433009,0.6332085392275678,0.297387430549497,0.5942129994061046,0.5435261994163413,0.6255457519757682,0.48355667802832647,0.4819002921794016,0.42012513374446053
lh_parahippocampal_thickness,0.23977226764111637,0.3257083084358806,0.3462324927765668,0.4155143644525739,0.2729201874379594,0.2763805799057938,0.4242363527009744,0.3804550580563734,0.4086687866415364,1.0,0.31047944889530305,0.29371243441985256,0.26930546695668817,0.3074596303556055,0.29512400401835776,0.30998166866772625,0.3908710697439021,0.20376244686934655,0.3882557700373543,0.3235478565652316,0.41583562053530404,0.323775795980694,0.26896012951328657,0.29100268464410245,0.3482987941055512,0.4013397638207935,0.317143589846634,0.20766929363608133,0.3350413678430956,0.36564425475617957,0.26106767145185344,0.31826116961604856,0.15426120298797732,0.25020499880701974,0.2403164578010192,0.348470644554931,0.3393592014230503,0.3390531797057933,0.29033970298758655
